oui,vendor,vendor_full,country,updated
286FB9,Nokia Shanghai Bell Co.,Nokia Shanghai Bell Co.,,2025-06-25T16:48:28.205558
08EA44,Extreme Networks Headquarters,Extreme Networks Headquarters,,2025-06-25T16:48:28.205578
F4EAB5,Extreme Networks Headquarters,Extreme Networks Headquarters,,2025-06-25T16:48:28.205582
B87CF2,Extreme Networks Headquarters,Extreme Networks Headquarters,,2025-06-25T16:48:28.205585
E0A129,Extreme Networks Headquarters,Extreme Networks Headquarters,,2025-06-25T16:48:28.205587
A8C647,Extreme Networks Headquarters,Extreme Networks Headquarters,,2025-06-25T16:48:28.205590
A473AB,Extreme Networks Headquarters,Extreme Networks Headquarters,,2025-06-25T16:48:28.205592
0C9B78,Extreme Networks Headquarters,Extreme Networks Headquarters,,2025-06-25T16:48:28.205596
A4C7F6,Extreme Networks Headquarters,Extreme Networks Headquarters,,2025-06-25T16:48:28.205599
B42D56,Extreme Networks Headquarters,Extreme Networks Headquarters,,2025-06-25T16:48:28.205601
887E25,Extreme Networks Headquarters,Extreme Networks Headquarters,,2025-06-25T16:48:28.205603
001977,Extreme Networks Headquarters,Extreme Networks Headquarters,,2025-06-25T16:48:28.205605
38E2CA,Katun Corporation,Katun Corporation,,2025-06-25T16:48:28.205608
B05B99,Sagemcom Broadband SAS,Sagemcom Broadband SAS,,2025-06-25T16:48:28.205610
E80AB9,Cisco Systems,Cisco Systems,,2025-06-25T16:48:28.205612
78465F,Fiberhome Telecommunication Technologies Co.,Fiberhome Telecommunication Technologies Co.,,2025-06-25T16:48:28.205615
9075DE,Zebra Technologies Inc.,Zebra Technologies Inc.,,2025-06-25T16:48:28.205618
80BA16,Micas Networks Inc.,Micas Networks Inc.,,2025-06-25T16:48:28.205620
10E992,INGRAM MICRO SERVICES,INGRAM MICRO SERVICES,,2025-06-25T16:48:28.205623
78F276,Cyklop Fastjet Technologies (Shanghai) Inc.,Cyklop Fastjet Technologies (Shanghai) Inc.,,2025-06-25T16:48:28.205626
20F83B,Nabu Casa,Nabu Casa,,2025-06-25T16:48:28.205628
F01B24,zte corporation,zte corporation,,2025-06-25T16:48:28.205631
B84C87,IEEE Registration Authority,IEEE Registration Authority,,2025-06-25T16:48:28.205633
E4F14C,Private,Private,,2025-06-25T16:48:28.205636
10061C,Espressif Inc.,Espressif Inc.,,2025-06-25T16:48:28.205638
E00630,HUAWEI TECHNOLOGIES CO.,HUAWEI TECHNOLOGIES CO.,,2025-06-25T16:48:28.205641
04D168,Sunplus Technology Co.,Sunplus Technology Co.,,2025-06-25T16:48:28.205643
644C69,CONPROVE,CONPROVE,,2025-06-25T16:48:28.205646
DCD160,Tianjin Changdatong Technology Co.,Tianjin Changdatong Technology Co.,,2025-06-25T16:48:28.205648
644ED7,HP Inc.,HP Inc.,,2025-06-25T16:48:28.205650
9CE330,Cisco Meraki,Cisco Meraki,,2025-06-25T16:48:28.205652
04A959,New H3C Technologies Co.,New H3C Technologies Co.,,2025-06-25T16:48:28.205654
0CB983,Honor Device Co.,Honor Device Co.,,2025-06-25T16:48:28.205657
2CB301,Honor Device Co.,Honor Device Co.,,2025-06-25T16:48:28.205660
000E72,Arca Technologies S.r.l.,Arca Technologies S.r.l.,,2025-06-25T16:48:28.205662
E0C2B7,Masimo Corporation,Masimo Corporation,,2025-06-25T16:48:28.205664
C88BE8,Masimo Corporation,Masimo Corporation,,2025-06-25T16:48:28.205666
E4C767,Intel Corporate,Intel Corporate,,2025-06-25T16:48:28.205668
902D77,Edgecore Americas Networking Corporation,Edgecore Americas Networking Corporation,,2025-06-25T16:48:28.205670
6CFBED,GN Audio A/S,GN Audio A/S,,2025-06-25T16:48:28.205672
E4F27C,Juniper Networks,Juniper Networks,,2025-06-25T16:48:28.205675
906C4B,Advance Security Electronics,Advance Security Electronics,,2025-06-25T16:48:28.205677
D48AFC,Espressif Inc.,Espressif Inc.,,2025-06-25T16:48:28.205679
E465B8,Espressif Inc.,Espressif Inc.,,2025-06-25T16:48:28.205681
E001C7,Hui Zhou Gaoshengda Technology Co.,Hui Zhou Gaoshengda Technology Co.,,2025-06-25T16:48:28.205683
B4DF91,Cisco Meraki,Cisco Meraki,,2025-06-25T16:48:28.205685
98EE8C,zte corporation,zte corporation,,2025-06-25T16:48:28.205689
FC500C,Sitehop Ltd,Sitehop Ltd,,2025-06-25T16:48:28.205691
50E478,Sichuan AI-Link Technology Co.,Sichuan AI-Link Technology Co.,,2025-06-25T16:48:28.205693
90C710,zte corporation,zte corporation,,2025-06-25T16:48:28.205695
48D475,Lampuga GmbH,Lampuga GmbH,,2025-06-25T16:48:28.205697
601AC7,Nintendo Co.,Nintendo Co.,,2025-06-25T16:48:28.205699
48DA35,IEEE Registration Authority,IEEE Registration Authority,,2025-06-25T16:48:28.205701
A881FE,Luxul Tech Co.,Luxul Tech Co.,,2025-06-25T16:48:28.205704
649A08,Shenzhen SuperElectron Technology Co.,Shenzhen SuperElectron Technology Co.,,2025-06-25T16:48:28.205706
50F222,EM Microelectronic,EM Microelectronic,,2025-06-25T16:48:28.205708
307A57,Accuenergy (CANADA) Inc,Accuenergy (CANADA) Inc,,2025-06-25T16:48:28.205710
CCEB5E,Xiaomi Communications Co Ltd,Xiaomi Communications Co Ltd,,2025-06-25T16:48:28.205713
60C78D,Juniper Networks,Juniper Networks,,2025-06-25T16:48:28.205715
DC5193,zte corporation,zte corporation,,2025-06-25T16:48:28.205717
7478A6,Fortinet,Fortinet,,2025-06-25T16:48:28.205719
001982,SmarDTV Corporation,SmarDTV Corporation,,2025-06-25T16:48:28.205721
50FE0C,AzureWave Technology Inc.,AzureWave Technology Inc.,,2025-06-25T16:48:28.205723
BCFD0C,Shenzhen Phaten Tech. LTD,Shenzhen Phaten Tech. LTD,,2025-06-25T16:48:28.205725
1865C7,Dongguan YIMO Technology Co.LTD,Dongguan YIMO Technology Co.LTD,,2025-06-25T16:48:28.205728
0C01C8,DENSO Co.,DENSO Co.,,2025-06-25T16:48:28.205731
F42E48,zte corporation,zte corporation,,2025-06-25T16:48:28.205733
ACD75B,Sagemcom Broadband SAS,Sagemcom Broadband SAS,,2025-06-25T16:48:28.205735
B4C2E0,Bouffalo Lab (Nanjing) Co.,Bouffalo Lab (Nanjing) Co.,,2025-06-25T16:48:28.205737
040986,Arcadyan Corporation,Arcadyan Corporation,,2025-06-25T16:48:28.205739
481BA4,Cisco Systems,Cisco Systems,,2025-06-25T16:48:28.205741
F0EE7A,Apple,Apple,,2025-06-25T16:48:28.205743
203AEB,zte corporation,zte corporation,,2025-06-25T16:48:28.205745
5876B3,Ubee Interactive Co.,Ubee Interactive Co.,,2025-06-25T16:48:28.205747
E87072,Hangzhou BroadLink Technology Co.,Hangzhou BroadLink Technology Co.,,2025-06-25T16:48:28.205750
D8DAF1,HUAWEI TECHNOLOGIES CO.,HUAWEI TECHNOLOGIES CO.,,2025-06-25T16:48:28.205752
54443B,HUAWEI TECHNOLOGIES CO.,HUAWEI TECHNOLOGIES CO.,,2025-06-25T16:48:28.205755
5C7075,HUAWEI TECHNOLOGIES CO.,HUAWEI TECHNOLOGIES CO.,,2025-06-25T16:48:28.205758
CC03FA,Vantiva USA LLC,Vantiva USA LLC,,2025-06-25T16:48:28.205760
48F7C0,Vantiva USA LLC,Vantiva USA LLC,,2025-06-25T16:48:28.205762
480033,Vantiva USA LLC,Vantiva USA LLC,,2025-06-25T16:48:28.205764
14987D,Vantiva USA LLC,Vantiva USA LLC,,2025-06-25T16:48:28.205765
58238C,Vantiva USA LLC,Vantiva USA LLC,,2025-06-25T16:48:28.205767
80B234,Vantiva USA LLC,Vantiva USA LLC,,2025-06-25T16:48:28.205769
8417EF,Vantiva USA LLC,Vantiva USA LLC,,2025-06-25T16:48:28.205771
A456CC,Vantiva USA LLC,Vantiva USA LLC,,2025-06-25T16:48:28.205773
70037E,Vantiva USA LLC,Vantiva USA LLC,,2025-06-25T16:48:28.205775
441C12,Vantiva USA LLC,Vantiva USA LLC,,2025-06-25T16:48:28.205777
5C7695,Vantiva USA LLC,Vantiva USA LLC,,2025-06-25T16:48:28.205779
AC4CA5,Vantiva USA LLC,Vantiva USA LLC,,2025-06-25T16:48:28.205780
00CB7A,Vantiva USA LLC,Vantiva USA LLC,,2025-06-25T16:48:28.205782
F8D2AC,Vantiva USA LLC,Vantiva USA LLC,,2025-06-25T16:48:28.205784
CCF3C8,Vantiva USA LLC,Vantiva USA LLC,,2025-06-25T16:48:28.205787
40F3B0,Texas Instruments,Texas Instruments,,2025-06-25T16:48:28.205789
149CEF,Texas Instruments,Texas Instruments,,2025-06-25T16:48:28.205790
80C41B,Texas Instruments,Texas Instruments,,2025-06-25T16:48:28.205792
3468B5,Texas Instruments,Texas Instruments,,2025-06-25T16:48:28.205794
58AD12,Apple,Apple,,2025-06-25T16:48:28.205796
60FDA6,Apple,Apple,,2025-06-25T16:48:28.205798
80A997,Apple,Apple,,2025-06-25T16:48:28.205800
348C5E,Apple,Apple,,2025-06-25T16:48:28.205802
D0B2C4,Vantiva USA LLC,Vantiva USA LLC,,2025-06-25T16:48:28.205803
80C6AB,Vantiva USA LLC,Vantiva USA LLC,,2025-06-25T16:48:28.205805
383FB3,Vantiva USA LLC,Vantiva USA LLC,,2025-06-25T16:48:28.205807
641236,Vantiva USA LLC,Vantiva USA LLC,,2025-06-25T16:48:28.205809
